89;212;Sydney Sanches,Sydney Sanches.
90;214;Mello
91;215;Collor
92;223;São Paulo,São Paulo.,Amazonas. São Paulo
93;226;Sanches,Sanches.
94;235;Lei,Lei Orçamentária,Lei Orçamentária Anual.
95;236;Impeachment
96;240;PE,PEC.,PEC
97;241;quórum
98;249;Dillma,Dillma.
99;250;Programa Escola,Programa
100;251;Investimento,F Investimentos
101;252;Logística
102;253;PI,PIL
103;255;Quintella
104;261;Rodrigo Maia
105;267;horário
106;269;Senhora Presidente,Senhora
107;271;Dilma Rousseff. Medida,Dilma,Dilma Vana Rousseff,Dilma.,Dilma Rousseff,presidente Dilma Rousseff,Dilma Rousseff.
108;272;União José Eduardo Cardozo,Ué,União,União José Eduardo Cardozo.
109;288;Gleisi,G1,G20,Gleisi Hoffmann. Retirada,Gleisi Hoffman,Gleisi Hoffmann.,Gleisi Hoffmann,Gleisi.
110;291;Nego,Negociação
111;297;Alvo,Alvorada.,Alvorada
112;299;gaúcha
113;300;Paula Araújo
114;301;Araújo,Dilma Carlos Araújo
115;302;Marco Legal
116;304;Tribunal Federal. Flávio Caetano,Tribunal,Tribunal Federal,Tribunal Federal.,Tribunal Superior
117;305;Gilmar Mendes,G1
118;314;TSE.,TSE
119;320;Twitter.,Twitter
120;322;Maracanã
121;324;Comitê Organizador Local
122;326;Comitê Olímpico Internacional
123;327;Thomas Bach
124;328;Comitê,Comitê Rio
125;329;Carlos Arthur Nuzman.
126;331;Olimpíada
127;333;Fernando Henrique Cardoso,Fernando Henrique
128;336;senador José Sarney,José Sarney
129;337;Marcela Temer,Marcela,Marcela Valente
130;338;Estado
131;343;Abel Gomes
132;345;Petrolão
133;362;Contas
134;364;Júlio,Júlio Marcelo Oliveira,Júlio Marcelo,Júlio Marcelo.
135;365;Oliveira,Benedito Oliveira Neto,Oliveira.,Oliveira Pertile
136;376;Randolfe Rodrigues,Randolfe.,senador Randolfe Rodrigues
137;375;APRESENTAÇÃO,AP
138;377;G20,Grazziotin.,Graziotin,G1,Grazziotin
139;380;JULGAMENTO,AM
140;382;Kátia,Kátia Abreu.,Kátia Abreu
141;384;TO
142;385;Agricultura,Agricultura.
143;386;Mesmo
144;391;Teatro
145;394;Catedral
146;395;Saúde
147;399;Setor Hoteleiro
148;404;Anastasia.,Anastasia
149;413;Renan. Notificação,Renan
150;417;Esplanada
151;429;Barbosa
152;432;senador Raimundo Lira,Raimundo Lira
153;434;PB
154;441;Salgado Filho,Aeroporto Salgado Filho
155;444;Guaíba
156;450;Tristeza
157;464;TCU.,TCU
158;475;Banco Mundial,Banco,Banco Central.
159;476;Brasil.,BBC Brasil,B,Brasil,Frente Brasil Popular
160;480;Responsabilidade Fiscal,Responsabilidade Fiscal. Ronaldo Caiado,Responsabilidade Fiscal.,Responsabilidade
161;492;PR,PRF
162;496;Regina Sousa
163;508;início
164;510;Lewandowski
165;515;desembargador
166;519;Educação,Educação Luiz Claudio Costa
167;527;MEC.,MEC
168;521;Luiz Cláudio Costa,áudio,Educação Luiz Cláudio Costa
169;523;Fátima Bezerra
170;525;RN
171;526;Costa,Costa Rica,Costa Coelho
172;528;Força Aérea Brasileira,área
173;535;Plano Safra. Cargos Comissionados,Plano Safra.,Plano Safra
174;547;Prado
175;548;G20,Luiz Gonzaga Belluzzo
176;549;Belluzzo
177;551;Adiamento
178;552;José Serra
179;555;Serra
180;556;Globo,TV Globo.,G1,TV Globo
181;558;Sul. Dilma,Sul.,Sul
182;559;Americanas,Americana
183;560;Unasul
184;561;Ernesto Samper
185;564;Bolívia
186;565;Evo Morales
187;573;Alves
188;579;Henrique Meirelles.,Henrique Meirelles
189;583;Eliseu Padilha.,Eliseu Padilha
190;585;Geddel Vieira Lima,Vieira Lima
191;586;Secretaria
192;587;Governo FHC,Governo,Governo Federal,G20
193;589;Energia.,Energia
194;602;PPS,PP
195;595;Henrique Alves
196;596;Turismo
197;597;Gilberto Kassab
198;601;DEM.,DEM
199;605;Esporte
200;606;Defesa
201;607;Meio,Meio Ambiente
202;608;Desenvolvimento SocialAssessores,Desenvolvimento Social,Desenvolvimento Econômico,Desenvolvimento
